#Name	Omega0	sigma8	SNMomentumBoostFactor	TwindMassLoadingBoostFactor	BondiAccretionBoostFactor	AGNFeedbackTemperature	OmegaBaryon	HubbleParam	n_s	SFEfficiency	CritPhysDensity	Nspawn	SNIIEnergyBoostFactor	SNIaEnergyBoostFactor	HNfrac	ZHN	SNIIEventNumber	DesNumNgbFB	TwindCsndBoostFactor	TwindVwindBoostFactor	EddingtonAccretionBoostFactor	Cvisc	BHRadiativeEfficiency	AGNFeedbackEfficiency	SeedBlackHoleMass	MinFoFMassForNewSeed	Seed
1P_p17_2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	4.0	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p18_n2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	4.0	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p18_n1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	6.0	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p18_0	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8.0	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p18_1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	10.0	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p18_2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	12.0	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p19_n2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	0.5	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p19_n1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	0.707	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p19_0	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p19_1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.41	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p19_2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	2.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p20_n2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	0.5	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p20_n1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	0.707	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p20_0	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p20_1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.41	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p20_2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	2.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p21_n2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	0.1	6.28e2	0.1	0.15	1e-5	1	67
1P_p21_n1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	0.316	6.28e2	0.1	0.15	1e-5	1	67
1P_p21_0	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1.0	6.28e2	0.1	0.15	1e-5	1	67
1P_p21_1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	3.16	6.28e2	0.1	0.15	1e-5	1	67
1P_p21_2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	10.0	6.28e2	0.1	0.15	1e-5	1	67
1P_p22_n2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28	0.1	0.15	1e-5	1	67
1P_p22_n1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	62.8	0.1	0.15	1e-5	1	67
1P_p22_0	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	628.0	0.1	0.15	1e-5	1	67
1P_p22_1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6280.0	0.1	0.15	1e-5	1	67
1P_p22_2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	62800.0	0.1	0.15	1e-5	1	67
1P_p23_n2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.025	0.15	1e-5	1	67
1P_p23_n1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.05	0.15	1e-5	1	67
1P_p23_0	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p23_1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.2	0.15	1e-5	1	67
1P_p23_2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.4	0.15	1e-5	1	67
1P_p24_n2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.0375	1e-5	1	67
1P_p24_n1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.075	1e-5	1	67
