#Name Omega_m    sigma_8    A_SN1      A_AGN1     A_SN2      A_AGN2   Omega_b    seed
SB7_236 0.22041700 0.97216100 2.63487500 0.38327100 0.69366000 0.319032 0.08856600 12236
SB7_237 0.45087500 0.63396800 0.74274300 2.06574500 1.71633900 1.246787 0.04752900 12237
SB7_238 0.33128400 0.89290000 1.45821000 1.29227800 1.18690600 0.536698 0.05591500 12238
SB7_239 0.19001400 0.70141200 0.35037300 0.86060500 0.70736100 2.096061 0.01550400 12239
SB7_240 0.18688900 0.94963300 3.82146500 3.67850400 1.81485900 1.071596 0.05804300 12240
SB7_241 0.34066000 0.65674100 0.53481300 0.34522200 0.65452100 0.263161 0.01837600 12241
SB7_242 0.47275100 0.81656400 1.00444900 0.54887400 0.76228200 2.549642 0.08506900 12242
SB7_243 0.20479200 0.77662700 0.48711000 1.62935600 1.10486900 0.625725 0.04602700 12243
SB7_244 0.26069500 0.64379200 0.25579900 1.05174400 1.56830200 3.083002 0.07481200 12244
SB7_245 0.41761500 0.96185000 1.99731800 0.71599700 0.53552000 0.747838 0.03377800 12245
SB7_246 0.39968800 0.71463000 0.93448500 0.44128700 0.92091500 1.833725 0.06215200 12246
SB7_247 0.12862900 0.87939100 2.09421800 2.42970000 1.29323100 0.444493 0.02174300 12247
SB7_248 0.10525800 0.74530900 1.57418600 0.25314900 1.06903400 3.984220 0.08435300 12248
SB7_249 0.37307000 0.86160200 0.31082400 2.97482100 0.78756800 0.973133 0.04456900 12249
SB7_250 0.44107100 0.61507300 2.43763200 1.71810700 0.64672100 1.675816 0.05138000 12250
SB7_251 0.28725200 0.97846000 0.83844600 0.62408500 1.83612800 0.409027 0.01222100 12251
SB7_252 0.22830900 0.84879400 0.59590400 0.97645800 1.30578700 1.387072 0.06850200 12252
SB7_253 0.49922100 0.75728700 3.28454500 1.30056500 0.91175100 0.341949 0.02758500 12253
SB7_254 0.31725300 0.91621300 0.40078700 2.30432300 0.55293400 2.333433 0.07584000 12254
SB7_255 0.16028400 0.67805200 1.27495400 0.38812000 1.51839800 0.574875 0.03554900 12255
SB7_256 0.15955100 0.73382600 0.58157900 0.81519000 0.78569200 3.126842 0.07563700 12256
SB7_257 0.31798500 0.87220200 3.36504300 1.09852000 1.07149500 0.801847 0.03546000 12257
SB7_258 0.49848800 0.60153800 0.45027800 2.76749000 1.84045400 1.859918 0.06861000 12258
SB7_259 0.22904100 0.99286800 1.13467200 0.46072100 0.64514600 0.476645 0.02780800 12259
SB7_260 0.28652000 0.83498000 1.75883600 0.30310800 0.90903000 1.100414 0.05150800 12260
SB7_261 0.44180400 0.77178000 0.27817900 3.52292800 1.30980600 0.278731 0.01238600 12261
SB7_262 0.37233900 0.90503600 2.36583100 1.43095600 1.52311900 2.618040 0.08417000 12262
