# Name Omega_m, sigma_8 ASN1 AAGN1 ASN2 AAGN2 Omega_b seed
SB7_120 0.10196 0.60496 1.02081 1.37409 0.86131 0.67742 0.059692 12120
SB7_121 0.37011 0.98867 0.47930 0.92545 1.38284 1.37488 0.018890 12121
SB7_122 0.43802 0.73510 3.75954 0.40936 1.47477 0.87868 0.087040 12122
SB7_123 0.28406 0.87172 0.54361 2.18172 0.56953 1.78272 0.046863 12123
SB7_124 0.22502 0.90142 0.91888 2.88213 0.81169 0.81188 0.073078 12124
SB7_125 0.49627 0.69294 2.12979 0.26164 1.03753 1.64010 0.033331 12125
SB7_126 0.31420 0.83391 0.25984 0.60362 1.94299 0.52651 0.060115 12126
SB7_127 0.15708 0.77207 1.96631 1.77392 0.61131 1.06327 0.020992 12127
SB7_128 0.15909 0.90676 0.31745 0.52248 1.26249 0.89403 0.081355 12128
SB7_129 0.31298 0.69966 1.60943 1.43739 0.94089 1.77113 0.042232 12129
SB7_130 0.49495 0.82665 0.82004 3.54362 0.52456 0.68952 0.054318 12130
SB7_131 0.22712 0.76659 2.38650 0.30175 1.60558 1.36553 0.014571 12131
SB7_132 0.28215 0.61182 3.35798 0.46295 1.12719 0.53005 0.065800 12132
SB7_133 0.43915 0.99377 0.60862 2.75046 0.74509 1.04485 0.025623 12133
SB7_134 0.37114 0.72936 1.24822 1.09325 0.66910 0.81757 0.078452 12134
SB7_135 0.10015 0.86460 0.39198 0.82025 1.77995 1.61106 0.037650 12135
SB7_136 0.12670 0.71158 0.52292 1.94493 1.48758 0.55288 0.055009 12136
SB7_137 0.39458 0.89528 3.74291 0.65473 0.56598 1.09232 0.016082 12137
SB7_138 0.41252 0.62843 0.49738 0.29001 0.89022 0.71714 0.087973 12138
SB7_139 0.25877 0.96505 1.02734 3.09223 1.33389 1.41634 0.048421 12139
SB7_140 0.20052 0.80731 1.95625 2.03284 1.87671 0.93218 0.072146 12140
SB7_141 0.47156 0.79882 0.25012 0.36945 0.63438 1.85246 0.031773 12141
SB7_142 0.33946 0.92807 2.14200 0.85351 0.80334 0.60453 0.064796 12142
SB7_143 0.18261 0.66624 0.95417 1.25287 1.04510 1.20095 0.023799 12143
SB7_144 0.19199 0.88321 1.40336 0.34857 0.61502 1.71771 0.061260 12144
SB7_145 0.33633 0.72316 0.36411 3.79927 1.93143 0.84647 0.022335 12145
SB7_146 0.45593 0.95016 2.98300 1.65352 1.03258 1.32478 0.074234 12146
SB7_147 0.22240 0.64302 0.65614 0.56863 0.81565 0.65262 0.034685 12147
SB7_148 0.26815 0.78519 0.75968 0.72538 0.57928 1.01332 0.085883 12148
SB7_149 0.40939 0.82045 2.69036 1.08848 1.44984 0.50186 0.045512 12149
SB7_150 0.37896 0.65605 0.34316 2.44413 1.36153 1.56299 0.058543 12150
SB7_151 0.14857 0.93797 1.42583 0.45378 0.87472 0.77382 0.017548 12151
SB7_152 0.12203 0.68513 2.31217 3.07878 0.72418 1.15212 0.075111 12152
SB7_153 0.35551 0.92178 0.84640 0.25647 1.16261 0.57240 0.035991 12153
SB7_154 0.43602 0.75492 1.80966 0.64175 1.75356 1.49440 0.068084 12154
SB7_155 0.29153 0.83861 0.28232 1.72828 0.67717 0.74220 0.028339 12155
SB7_156 0.24899 0.98394 0.44240 1.34328 0.96512 1.95389 0.052032 12156
SB7_157 0.47933 0.62214 1.10596 0.98591 1.23358 0.96508 0.011857 12157
SB7_158 0.30985 0.85139 0.58866 0.40209 1.63359 1.26712 0.084693 12158
SB7_159 0.16846 0.74287 3.47187 2.33846 0.51394 0.62566 0.043894 12159
SB7_160 0.17324 0.63723 1.52784 0.78977 0.69957 1.33413 0.053169 12160
SB7_161 0.30509 0.96914 0.33442 1.18571 1.69724 0.67671 0.012913 12161
SB7_162 0.48718 0.70397 2.72352 2.67690 1.17533 1.72989 0.081141 12162
SB7_163 0.24114 0.88922 0.71859 0.49674 0.71627 0.87775 0.040262 12163
SB7_164 0.29939 0.93139 0.69915 0.32026 0.50840 1.58170 0.079054 12164
SB7_165 0.42814 0.67425 2.92310 3.48664 1.65157 0.79856 0.039854 12165
SB7_166 0.36021 0.80203 0.37456 1.50926 1.19414 1.02541 0.066716 12166
SB7_167 0.11733 0.79199 1.30622 0.51963 0.99710 0.51788 0.026891 12167
SB7_168 0.14078 0.83271 3.55307 1.23275 0.82443 1.51725 0.089513 12168
SB7_169 0.38677 0.77420 0.55085 0.90585 1.02147 0.76336 0.049063 12169
SB7_170 0.40477 0.90267 1.17239 0.36744 1.99498 1.16979 0.057487 12170
SB7_171 0.27277 0.69086 0.43583 2.13444 0.59537 0.58874 0.016412 12171
SB7_172 0.21774 0.73620 0.28733 3.35378 0.84689 1.27885 0.062710 12172
SB7_173 0.46057 0.86988 1.70296 0.27923 1.40641 0.64739 0.023704 12173
SB7_174 0.32861 0.60381 0.91180 0.70251 1.43446 1.97188 0.070370 12174
SB7_175 0.19971 0.99045 2.24161 1.89288 0.58555 0.99857 0.030740 12175
SB7_176 0.17783 0.76059 0.41320 0.42291 1.31954 0.69776 0.073279 12176
SB7_177 0.34423 0.84583 1.23658 2.51129 0.89981 1.40908 0.032831 12177
SB7_178 0.46370 0.68065 0.63295 1.00361 0.54789 0.90474 0.061243 12178
SB7_179 0.20836 0.91259 3.09214 0.75337 1.53652 1.82771 0.020171 12179
SB7_180 0.25090 0.85783 2.58532 0.57174 1.07955 0.82339 0.058951 12180
SB7_181 0.42039 0.74777 0.79059 1.57478 0.77778 1.67057 0.019948 12181
SB7_182 0.38989 0.97554 1.61185 3.86137 0.64125 0.53381 0.086602 12182
SB7_183 0.13141 0.61843 0.30358 0.32842 1.85680 1.08339 0.046974 12183
SB7_184 0.10795 0.95935 0.96056 2.22714 1.55401 0.72372 0.069430 12184
SB7_185 0.36333 0.64751 2.03749 0.40429 0.54191 1.46553 0.029177 12185
SB7_186 0.44377 0.87599 0.27236 0.92894 0.93061 0.55799 0.077393 12186
SB7_187 0.27752 0.71749 1.87597 1.36522 1.27630 1.13029 0.036515 12187
SB7_188 0.23177 0.65976 1.06273 1.77581 1.79953 0.61379 0.082801 12188
SB7_189 0.49030 0.94637 0.46037 0.59810 0.66189 1.23524 0.043603 12189
SB7_190 0.32071 0.78030 3.92462 0.26636 0.76978 0.94641 0.050452 12190
SB7_191 0.15136 0.81401 0.52073 2.83868 1.09115 1.90530 0.010630 12191
SB7_192 0.15563 0.79580 2.08039 1.14838 1.89655 1.54825 0.067372 12192
SB7_193 0.32191 0.81057 0.98246 0.78192 0.62605 0.78119 0.026531 12193
SB7_194 0.49150 0.66256 1.83431 0.47931 0.79606 1.00376 0.079399 12194
SB7_195 0.23605 0.93062 0.26676 2.63862 1.05752 0.50664 0.039183 12195
SB7_196 0.27945 0.89779 0.47087 3.37002 1.50227 1.30520 0.080407 12196
SB7_197 0.44887 0.70785 1.08515 0.31600 0.55893 0.66241 0.040699 12197
SB7_198 0.36843 0.96845 0.51003 0.50515 0.88274 1.69232 0.052745 12198
SB7_199 0.10988 0.62556 3.83741 1.50083 1.34885 0.85917 0.013663 12199
SB7_200 0.13651 0.99753 1.20941 0.89382 1.11697 1.25178 0.071179 12200
SB7_201 0.39182 0.60937 0.40454 1.19150 0.75395 0.63333 0.030220 12201
SB7_202 0.42233 0.86752 3.15817 2.12255 0.67617 1.93023 0.063204 12202
SB7_203 0.25600 0.72601 0.64711 0.35720 1.75655 0.97691 0.022871 12203
SB7_204 0.20956 0.69634 0.77400 0.27646 1.25187 1.48432 0.056601 12204
SB7_205 0.46797 0.90973 2.52855 3.24815 0.95144 0.74724 0.017010 12205
SB7_206 0.34850 0.76398 0.31037 1.86584 0.52974 1.14434 0.088940 12206
