#Name Omega_m sigma_8 A_SN1 A_AGN1 A_SN2 A_AGN2 seed
LH_298 0.30484 0.61172 1.53360 1.52292 1.24679 0.51452 30298
LH_299 0.17051 0.98908 0.34095 1.01746 1.35314 1.61980 30299
LH_300 0.48512 0.95138 0.32557 1.45207 1.29735 1.98897 30300
LH_301 0.31414 0.67488 2.94429 0.58691 1.11469 1.60750 30301
LH_302 0.46777 0.92493 1.48454 0.72131 1.42423 0.68961 30302
LH_303 0.37808 0.87829 1.04458 0.37489 0.74122 0.54712 30303
LH_304 0.28276 0.63344 1.21221 1.09389 1.15007 0.59877 30304
LH_305 0.25548 0.71766 3.19129 0.26193 0.96031 1.11822 30305
LH_306 0.17938 0.87582 0.34858 0.94385 1.95678 1.69786 30306
LH_307 0.40366 0.92096 0.30822 0.33380 1.34209 1.36726 30307
LH_308 0.27472 0.84801 1.19996 0.29193 1.21085 1.26444 30308
LH_309 0.34248 0.90985 0.44297 0.66364 1.14165 0.53242 30309
LH_310 0.19832 0.96643 3.57838 3.94350 0.67662 1.92947 30310
LH_311 0.20936 0.84141 1.03909 0.31696 0.92427 1.00181 30311
LH_312 0.43682 0.81731 1.65251 1.63886 1.48065 0.87449 30312
LH_313 0.41756 0.72930 0.27825 1.47406 1.16062 1.24441 30313
LH_314 0.23529 0.71015 0.56300 2.62520 0.63699 1.50858 30314
LH_315 0.36862 0.95869 0.87637 1.74759 0.73490 0.66141 30315
LH_316 0.28479 0.86960 1.89045 0.31429 1.19738 0.56728 30316
LH_317 0.27389 0.61691 2.19414 1.13101 1.38640 1.39114 30317
LH_318 0.27750 0.84613 0.29032 0.31734 1.79720 0.54115 30318
LH_319 0.41231 0.89626 3.56199 0.88004 1.89971 1.39559 30319
LH_320 0.37970 0.87441 1.08908 3.56739 0.70125 0.78087 30320
LH_321 0.49436 0.69921 0.39595 0.27113 0.68537 0.87811 30321
LH_322 0.29362 0.64764 0.39727 0.84532 0.66093 1.39043 30322
LH_323 0.11827 0.68278 0.25909 1.73428 0.54407 1.84424 30323
LH_324 0.38036 0.71705 0.47760 1.60661 1.42031 1.93445 30324
LH_325 0.39531 0.70282 1.92091 0.50036 1.31110 0.94596 30325
LH_326 0.14207 0.95227 1.12065 2.28056 1.46057 1.03465 30326
LH_327 0.49853 0.99451 1.91547 2.04090 1.60271 1.84882 30327
LH_328 0.32405 0.85631 2.49653 0.28076 0.85450 0.89772 30328
LH_329 0.12800 0.79879 3.15477 1.23070 0.90810 0.87658 30329
LH_330 0.23848 0.69731 0.62294 0.68909 0.68849 0.93807 30330
LH_331 0.33496 0.92611 0.48614 0.83153 0.88792 0.67049 30331
LH_332 0.11694 0.76819 1.14483 3.30450 1.22347 1.44438 30332
LH_333 0.41903 0.93140 1.59966 0.34255 0.66534 0.69302 30333
LH_334 0.28856 0.79373 1.31388 0.82326 1.56171 1.42069 30334
LH_335 0.49377 0.62861 0.34499 2.07689 1.92935 1.80897 30335
LH_336 0.34552 0.83416 1.58615 0.40990 0.72482 1.04032 30336
LH_337 0.18034 0.66741 0.34699 2.16258 0.93341 0.82697 30337
LH_338 0.30369 0.98257 2.14119 0.54767 0.90697 0.51862 30338
LH_339 0.18749 0.71888 1.64299 1.72445 1.62571 1.07402 30339
LH_340 0.14122 0.86270 1.39247 0.32654 0.56063 1.19149 30340
LH_341 0.42951 0.71443 1.45317 3.20436 1.24217 1.75175 30341
LH_342 0.17452 0.77425 3.43463 2.84821 0.50141 1.61246 30342
LH_343 0.22992 0.83972 0.33099 0.71844 0.78251 0.62888 30343
LH_344 0.21789 0.94020 1.00564 3.26246 1.36550 1.49391 30344
LH_345 0.17601 0.60365 0.35360 1.85739 1.53580 0.92494 30345
LH_346 0.20359 0.82308 1.15716 0.81000 0.60331 0.96689 30346
LH_347 0.24698 0.65028 1.41791 3.89893 0.75970 1.86653 30347
LH_348 0.24894 0.90320 0.46135 1.54656 0.89013 1.16391 30348
LH_349 0.29816 0.89167 2.95143 0.58070 0.69702 1.78880 30349
LH_350 0.44447 0.85806 1.05346 0.43888 0.78493 0.73563 30350
LH_351 0.33925 0.91144 2.66998 0.96406 1.22088 1.51807 30351
